종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,게시물_요약,code
성일하이텍,66200.0,+10.52%,17,KOSDAQ,,AI 분석 불가,365340
와토스코리아,8790.0,+10.29%,5,KOSDAQ,,AI 분석 불가,079000
유투바이오,19550.0,+10.08%,74,KOSDAQ,,AI 분석 불가,221800
새빗켐,27550.0,+9.76%,7,KOSDAQ,,AI 분석 불가,107600
한국ANKOR유전,293.0,+9.74%,96,KOSPI,,AI 분석 불가,152550
에이유브랜즈,17550.0,+9.62%,3,KOSDAQ,,AI 분석 불가,481070
덕산하이메탈,11410.0,+9.40%,18,KOSDAQ,,AI 분석 불가,077360
코웨이,78900.0,+8.98%,22,KOSPI,,AI 분석 불가,021240
에이치엠넥스,3890.0,+8.96%,45,KOSDAQ,,AI 분석 불가,036170
세운메디칼,3115.0,+8.16%,65,KOSDAQ,,AI 분석 불가,100700
리센스메디컬,22700.0,+8.10%,107,KOSDAQ,,AI 분석 불가,394420
지아이이노베이션,13120.0,+7.81%,19,KOSDAQ,,AI 분석 불가,358570
엘앤에프,183800.0,+7.74%,185,KOSPI,,AI 분석 불가,066970
솔브레인홀딩스,50800.0,+6.72%,10,KOSDAQ,,AI 분석 불가,036830
보원케미칼,11800.0,+6.59%,267,KOSDAQ,11070.0,AI 분석 불가,0010F0
에코프로머티,73400.0,+6.53%,229,KOSPI,,AI 분석 불가,450080
한화시스템,135150.0,+5.92%,215,KOSPI,,AI 분석 불가,272210
한패스,20300.0,+5.89%,76,KOSDAQ,19170.0,AI 분석 불가,408470
롯데케미칼,88400.0,+5.74%,23,KOSPI,,AI 분석 불가,011170
명인제약,55900.0,+5.67%,19,KOSPI,,AI 분석 불가,317450
한국팩키지,2720.0,+5.63%,31,KOSDAQ,2575.0,AI 분석 불가,037230
팜스코,3300.0,+5.10%,1,KOSPI,,AI 분석 불가,036580
달바글로벌,159200.0,+4.94%,25,KOSPI,,AI 분석 불가,483650
한일철강,4055.0,+4.78%,3,KOSPI,,AI 분석 불가,002220
화인베스틸,1308.0,+4.72%,1,KOSPI,,AI 분석 불가,133820
기가레인,2500.0,+4.60%,121,KOSDAQ,2390.0,AI 분석 불가,049080
우성,22250.0,+4.46%,1,KOSPI,,AI 분석 불가,006980
호텔신라,45900.0,+4.44%,18,KOSPI,,AI 분석 불가,008770
진원생명과학,812.0,+4.24%,24,KOSPI,,AI 분석 불가,011000
코오롱,65400.0,+3.81%,4,KOSPI,,AI 분석 불가,002020
아이에이,137.0,+3.79%,11,KOSDAQ,131.0,AI 분석 불가,038880
보해양조,440.0,+3.53%,2,KOSPI,,AI 분석 불가,000890
한화에어로스페이스,1501000.0,+3.52%,40,KOSPI,,AI 분석 불가,012450
보령,9420.0,+3.40%,49,KOSPI,,AI 분석 불가,003850
PI첨단소재,21700.0,+3.33%,9,KOSPI,,AI 분석 불가,178920
카카오,46300.0,+3.23%,118,KOSPI,,AI 분석 불가,035720
DL,64700.0,+3.19%,7,KOSPI,,AI 분석 불가,000210
PLUS K방산레버리지,15545.0,+3.15%,1,KOSPI,,AI 분석 불가,0104G0
한국석유,17020.0,+3.03%,41,KOSPI,,AI 분석 불가,004090
남선알미늄,2190.0,+2.82%,662,KOSPI,,AI 분석 불가,008350
파워넷,5390.0,+2.67%,107,KOSDAQ,5249.0,AI 분석 불가,037030
동국홀딩스,10510.0,+2.64%,4,KOSPI,,AI 분석 불가,001230
무학,8820.0,+2.56%,1,KOSPI,,AI 분석 불가,033920
RISE 미국S&P원유생산기업(합성 H),8040.0,+2.49%,1,KOSPI,,AI 분석 불가,219390
LIG넥스원,830000.0,+2.47%,274,KOSPI,,AI 분석 불가,079550
솔루엠,16240.0,+2.46%,5,KOSPI,,AI 분석 불가,248070
삼성E&A,46700.0,+2.30%,720,KOSPI,45650.0,AI 분석 불가,028050
LG디스플레이,11200.0,+2.28%,166,KOSPI,10950.0,AI 분석 불가,034220
좋은사람들,1619.0,+2.08%,18,KOSDAQ,1586.0,AI 분석 불가,033340
우리로,7080.0,+1.87%,263,KOSDAQ,6950.0,AI 분석 불가,046970
흥아해운,3860.0,+1.85%,871,KOSPI,3789.0,AI 분석 불가,003280
SK하이닉스,898000.0,+1.35%,505,KOSPI,886038.0,AI 분석 불가,000660
대영포장,1285.0,+1.18%,66,KOSPI,1270.0,AI 분석 불가,014160
GS건설,28200.0,+0.71%,50,KOSPI,28001.0,AI 분석 불가,006360
에코플라스틱,4040.0,+0.50%,92,KOSDAQ,4019.0,AI 분석 불가,038110
RISE 삼성전자SK하이닉스채권혼합50,10010.0,+0.45%,1,KOSPI,9965.0,AI 분석 불가,0162Z0
삼성전자,193600.0,+0.26%,995,KOSPI,193097.0,AI 분석 불가,005930
삼성전자우,128800.0,-0.23%,104,KOSPI,129096.0,AI 분석 불가,005935
해성옵틱스,1368.0,-0.87%,22,KOSDAQ,1380.0,AI 분석 불가,076610
대우건설,17130.0,-1.04%,234,KOSPI,17310.0,AI 분석 불가,047040
대한해운,2280.0,-1.08%,93,KOSPI,2304.0,AI 분석 불가,005880
후성,9720.0,-1.82%,125,KOSPI,9900.0,AI 분석 불가,093370
한화생명,4425.0,-1.88%,39,KOSPI,4509.0,AI 분석 불가,088350
에스에너지,1911.0,-1.95%,22,KOSDAQ,1949.0,AI 분석 불가,095910
KoAct 코스닥액티브,10925.0,-2.24%,54,KOSPI,11175.0,AI 분석 불가,0163Y0
한온시스템,3670.0,-2.26%,73,KOSPI,3754.0,AI 분석 불가,018880
SG세계물산,477.0,-2.85%,18,KOSPI,490.0,AI 분석 불가,004060
서울식품,167.0,-2.91%,11,KOSPI,172.0,AI 분석 불가,004410
신성이엔지,3450.0,-3.50%,135,KOSPI,3575.0,AI 분석 불가,011930
케이뱅크,5960.0,-3.56%,67,KOSPI,6180.0,AI 분석 불가,279570
조일알미늄,1528.0,-4.86%,45,KOSPI,1606.0,AI 분석 불가,018470
에이프로젠,280.0,-5.08%,65,KOSPI,294.0,AI 분석 불가,007460
아주IB투자,8530.0,-5.54%,42,KOSDAQ,9030.0,AI 분석 불가,027360
우리기술,19400.0,-5.83%,213,KOSDAQ,20601.0,AI 분석 불가,032820
에이프로젠바이오로직스,240.0,-6.25%,13,KOSPI,256.0,AI 분석 불가,003060
빛과전자,3125.0,-6.86%,38,KOSDAQ,3355.0,AI 분석 불가,069540
스코넥,323.0,-6.92%,83,KOSDAQ,347.0,AI 분석 불가,276040
알루코,2585.0,-7.01%,40,KOSPI,2779.0,AI 분석 불가,001780
대한광통신,12570.0,-7.51%,273,KOSDAQ,13590.0,AI 분석 불가,010170
GS글로벌,3370.0,-8.67%,91,KOSPI,3689.0,AI 분석 불가,001250
모비릭스,2945.0,-9.10%,34,KOSDAQ,3239.0,AI 분석 불가,348030
다날,7080.0,-9.23%,457,KOSDAQ,7799.0,AI 분석 불가,064260
KEC,1355.0,-9.36%,37,KOSPI,1494.0,AI 분석 불가,092220
SK오션플랜트,25950.0,-9.42%,285,KOSPI,28648.0,AI 분석 불가,100090
인스코비,424.0,-11.48%,57,KOSPI,478.0,AI 분석 불가,006490
피노,9090.0,-12.00%,209,KOSDAQ,10329.0,AI 분석 불가,033790
제이케이시냅스,552.0,-16.74%,24,KOSDAQ,662.0,AI 분석 불가,060230
진흥기업,,,2,KOSPI,,AI 분석 불가,002780
팬오션,,,19,KOSPI,,AI 분석 불가,028670
Unknown,,,1,KOSPI,,AI 분석 불가,252420
코리아써키트,,,18,KOSPI,,AI 분석 불가,007810
Unknown,,,3,KOSPI,,AI 분석 불가,006880
세아제강지주,,,4,KOSPI,,AI 분석 불가,003030
Unknown,,,5,KOSPI,,AI 분석 불가,005420
LG화학,,,19,KOSPI,,AI 분석 불가,051910
Unknown,,,41,KOSPI,,AI 분석 불가,000720
Unknown,,,1,KOSPI,,AI 분석 불가,009160
Unknown,,,25,KOSPI,,AI 분석 불가,011790
이루온,,,13,KOSDAQ,,AI 분석 불가,065440
Unknown,,,40,KOSPI,,AI 분석 불가,321370
Unknown,,,9,KOSPI,,AI 분석 불가,123840
Unknown,,,16,KOSPI,,AI 분석 불가,101360
Unknown,,,6,KOSPI,,AI 분석 불가,084850
Unknown,,,6,KOSPI,,AI 분석 불가,083450
Unknown,,,21,KOSPI,,AI 분석 불가,222800
계양전기우,,,52,KOSPI,,AI 분석 불가,012205
일신석재,,,3,KOSPI,,AI 분석 불가,007110
대덕전자,,,9,KOSPI,,AI 분석 불가,353200
아로마티카,,,11,KOSDAQ,,AI 분석 불가,0015N0
